Item Name	qlvl	Item Name	qlvl	Item Name	qlvl
Treasure Class 87 (TC 87)
Archon Staff	85			Mang Song's Lesson	86
Berserker Axe	85			Death Cleaver	78
Bloodlord Skull	85			Darkforce Spawn	72
Caduceus	85	Griswold's Redemption	44	Astreon's Iron Ward	68
Colossus Blade	85	Bul-Kathos' Sacred Charge	50	The Grandfather	85
Colossus Girdle	85				
Corona	85	Griswold's Valor	44	Crown of Ages	86
Diadem	85	M'avina's True Sight	21	Griffon's Eye	84
Dimensional Shard	85			Death's Fathom	81
Dream Spirit	85				
Giant Thresher	85			Stormspire	78
Glorious Axe	85			Executioner's Justice	83
Guardian Crown	85				
Hydra Bow	85			Windforce	80
Legend Spike	85			Ghostflame	70
Myrmidon Greaves	85			Shadow Dancer	79
Mythical Sword	85	Bul-Kathos' Tribal Guardian	50		
Ogre Gauntlets	85			Steelrend	78
Sacred Armor	85	Immortal King's Soul Cage	37	Tyrael's Might	87
Sacred Armor	85			Templar's Might	82
Scissors Suwayyah	85	Natalya's Mark	22		
Thunder Maul	85			Earth Shifter	77
Thunder Maul	85			The Cranium Basher	85
Unearthed Wand	86			Death's Web	74
Vortex Shield	85	Griswold's Honor	44		
War Pike	85			Steel Pillar	77
Winged Harpoon	85			Gargoyle's Bite	78
Treasure Class 84 (TC 84)
Archon Plate	84				
Bone Visage	84	Trang-Oul's Guise	32	Giant Skull	73
Champion Axe	82			Messerschmidt's Reaver	75
Cryptic Sword	82	Sazabi's Cobalt Redeemer	34	Frostwind	78
Demon Crossbow	84			Gut Siphon	79
Fanged Knife	83			Fleshripper	76
Ghost Spear	83				
Great Poleaxe	84				
Lacquered Plate	82	Tal Rasha's Guardianship	26		
Legendary Mallet	82			Schaefer's Hammer	83
Legendary Mallet	82			Stone Crusher	76
Shadow Plate	83	Aldur's Deception	29	Steel Carapace	74
Shillelagh	83				
Sky Spirit	83			Ravenlore	82
Troll Belt	82	Trang-Oul's Girth	32		
Vortex Orb	84				
Ward	84	Taebaek's Glory	55	Spirit Ward	76
Zakarum Shield	82			Dragonscale	84
Treasure Class 81 (TC 81)
Aegis	79			Medusa's Gaze	84
Colossal Sword	80				
Conquerer Crown	80			Halaberd's Reign	85
Cryptic Axe	79			Tomb Reaver	86
Ghost Glaive	79			Wraith Flight	84
Kraken Shell	81	M'avina's Embrace	21	Leviathan	73
Matriarchal Pike	81				
Mirrored Boots	81				
Runic Talons	81				
Spired Helm	79	Ondal's Almighty	55	Veil of Steel	77
Spired Helm	79			Nightwing's Veil	75
Succubus Skull	81			Boneflame	80
Ward Bow	80			Widowmaker	73
War Spike	79			Cranebeak	71
Winged Axe	80			Lacerator	76
Treasure Class 78 (TC 78)
Balrog Skin	76	Sazabi's Ghost Liberator	34	Arkaine's Valor	85
Champion Sword	77			Doombringer	75
Conquest Sword	78				
Crusader Bow	77			Eaglehorn	77
Crusader Gauntlets	76				
Earth Spirit	76			Spirit Keeper	75
Feral Claws	78			Firelizard's Talons	75
Grand Matron Bow	78	M'avina's Caster	21		
Hellforge Plate	78	Naj's Light Plate	43		
Scourge	76			Horizon's Tornado	72
Scourge	76			Stormlash	86
Seraph Rod	76				
Troll Nest	76			Head Hunter's Glory	83
Winged Knife	77			Warshrike	83
Treasure Class 75 (TC 75)
Ancient Shield	74				
Battle Cestus	73			Shadow Killer	85
Colossus Crossbow	75			Hellrack	84
Decapitator	73			Hellslayer	71
Demonhead	74			Andariel's Visage	85
Demon Heart	75				
Destroyer Helm	73			Demonhorn's Edge	69
Elder Staff	74	Naj's Puzzler	43	Ondal's Wisdom	74
Great Hauberk	75				
Lich Wand	75			Boneshade	84
Loricated Mail	73	Natalya's Shadow	22		
Mancatcher	74			Viperfork	79
Mithril Coil	75	Credendum	39	Verdungo's Hearty Cord	71
Phase Blade	73			Azurewrath	87
Phase Blade	73			Lightsabre	66
Treasure Class 72 (TC 72)
Balrog Blade	71			Flamebellow	79
Balrog Spear	71			Demon's Arch	76
Boneweave Boots	72			Marrowwalk	74
Devil Star	70			Baranar's Star	70
Diamond Bow	72				
Diamond Mail	72				
Ettin Axe	70			Rune Master	80
Mithril Point	70				
Monarch	72			Stormshield	77
Sacred Rondache	70			Alma Negra	85
Thresher	71			The Reaper's Toll	83
Tiara	70			Kira's Guardian	85
Wire Fleece	70			The Gladiator's Bane	85
Treasure Class 69 (TC 69)
Armet	68			Steelshade	70
Blade Barrier	68			Spike Thorn	78
Eldritch Orb	67			Eschuta's Temper	80
Gorgon Crossbow	67				
Great Bow	68				
Hellspawn Skull	67				
Hydra Edge	69				
Ogre Maul	69	Immortal King's Stone Crusher	37	Windhammer	76
Scarab Husk	68				
Sun Spirit	69				
Vambraces	69			Soul Drainer	82
Vampirefang Belt	68			Nosferatu's Coil	68
War Fist	68				
Wyrmhide	67				
Treasure Class 66 (TC 66)
Colossus Voulge	64				
Dusk Shroud	65	Dark Adherent	39	Ormus' Robes	83
Flying Knife	64				
Fury Visor	66			Wolfhowl	85
Ghost Wand	65				
Highland Blade	66				
Hyperion	64				
Matriarchal Javelin	65			Thunderstroke	77
Ornate Armor	64	Griswold's Heart	44	Corpsemourn	63
Overseer Skull	66				
Scarabshell Boots	66			Sandstorm Trek	72
Silver Edged Axe	65			Ethereal Edge	82
Stalagmite	66				
Stygian Pike	66				
Treasure Class 63 (TC 63)
Ataghan	61			Djinn Slayer	73
Blood Spirt	62			Cerebus' Bite	71
Boneweave	62				
Chaos Armor	61	Trang-Oul's Scales	32	Black Hades	61
Elegant Blade	63			Bloodmoon	69
Hydraskull	63				
Luna	61			Blackoak Shield	67
Matriarchal Spear	61			Stoneraven	72
Mighty Scepter	62			Heaven's Light	69
Mighty Scepter	62			The Redeemer	80
Reinforced Mace	63	Dangoon's Teaching	55		
Sacred Targe	63				
Shadow Bow	63				
Small Crescent	61				
Spiderweb Sash	61			Arachnid Mesh	87
Stygian Pilum	62				
Vampirebone Gloves	63			Dracul's Grasp	84
Wrist Sword	62			Jade Talon	74
Treasure Class 60 (TC 60)
Blade Bow	60				
Bone Knife	58			Wizardspike	69
Carnage Helm	60				
Embossed Plate	58			Atma's Wail	59
Heater	58				
Heavenly Stone	59				
Hyperion Spear	58			Arioc's Needle	85
Legend Sword	59				
Mage Plate	60			Que-Hegan's Wisdom	59
Minion Skull	59				
Ogre Axe	60			Bonehew	72
Shako	58			Harlequin Crest	69
Suwayyah	59				
Walking Stick	58				
Wyrmhide Boots	60				
Treasure Class 57 (TC 57)
